player,club,goals,position
Harry Kane,,23,Striker
Mohamed Salah,Liverpool,22,Left/Centre/Right Winger
Bruno Fernandes,Manchester United,18,Left/Centre/Right Attacking Midfielder
Patrick Bamford,Leeds United,17,Centre Striker
Son Heung-Min,Tottenham Hotspur,17,Left/Centre/Right Winger
Dominic Calvert-Lewin,,16,Centre Striker
Jamie Vardy,Leicester City,15,Centre Striker
Ollie Watkins,Aston Villa,14,Left/Centre/Right Second Striker
Ilkay Gündogan,,13,Centre Central Midfielder
Alexandre Lacazette,Arsenal,13,Centre Striker
Kelechi Iheanacho,,12,Forward
Danny Ings,,12,Striker
Callum Wilson,,12,Centre Striker
Chris Wood,,12,Centre Striker
Gareth Bale,,11,Left/Right Winger
Matheus Pereira,,11,Left/Centre/Right Attacking Midfielder
Sadio Mane,,11,Left/Right Second Striker
Marcus Rashford,Manchester United,11,Left Winger
Wilfried Zaha,,11,Left Winger
Michail Antonio,West Ham United,10,Centre Striker
Pierre-Emerick Aubameyang,,10,Striker
Christian Benteke,,10,Forward
Edinson Cavani,,10,Centre Striker
Anwar El Ghazi,,10,Left/Right Winger
Nicolas Pépé,,10,Right Winger
Tomás Soucek,West Ham United,10,Centre Defensive Midfielder
Raheem Sterling,,10,Left/Centre/Right Second Striker
Ché Adams,,9,Centre Striker
Roberto Firmino,,9,Left/Centre/Right Striker
Harvey Barnes,,9,Left/Right Winger
Gabriel Jesus,,9,Second Striker
Phil Foden,Manchester City,9,Centre Central Midfielder
Jesse Lingard,Manchester United,9,Midfielder
Riyad Mahrez,,9,Left/Right Winger
Diogo Jota,,9,Left/Centre/Right Striker
Jarrod Bowen,West Ham United,8,Centre Striker
Stuart Dallas,,8,Right Full Back
Jack Harrison,,8,Midfielder
James Maddison,,8,Left/Centre/Right Attacking Midfielder
Neal Maupay,,8,Centre Striker
David McGoldrick,Sheffield United,8,Forward
James Ward-Prowse,,8,Centre Central Midfielder
Joe Willock,,8,Centre Attacking Midfielder
Richarlison,,7,Left/Centre/Right Second Striker
Jorginho,,7,Centre Central Midfielder
Mason Greenwood,,7,Right Winger
Rodrigo,,7,Centre Striker
Ferran Torres,,7,Left/Centre/Right Attacking Midfielder
Bertrand Traoré,,7,Left/Right Winger
Tammy Abraham,,6,Centre Striker
Kevin De Bruyne,,6,Attacking Midfielder
Raphinha,,6,Right Winger
Jack Grealish,,6,Left/Centre/Right Attacking Midfielder
Mason Mount,,6,Centre Attacking Midfielder
James Rodriguez,,6,Left/Centre/Right Attacking Midfielder
Gylfi Sigurdsson,,6,Midfielder
Youri Tielemans,,6,Centre Central Midfielder
Danny Welbeck,Brighton & Hove Albion,6,Centre Striker
Timo Werner,,6,Centre Striker
Rueben Neves,,5,Centre Central Midfielder
Bobby De Cordova-Reid,,5,Forward
Lewis Dunk,Brighton & Hove Albion,5,Defender
Pablo Fornals,,5,Attacking Midfielder
Pedro Neto,,5,Left/Right Winger
Callum Robinson,,5,Left/Centre Striker
Bukayo Saka,Arsenal,5,Left Winger
Leandro Trossard,Brighton & Hove Albion,5,Forward
Kurt Zouma,,5,Centre Central Defender
Sergio Aguero,,4,Centre Striker
Miguel Almirón,,4,Left/Centre/Right Second Striker
Joelinton,Newcastle United,4,Left Central Midfielder
Stuart Armstrong,,4,Midfielder
Eberechi Eze,Crystal Palace,4,Centre Attacking Midfielder
Olivier Giroud,,4,Striker
Kai Havertz,,4,Left/Centre/Right Second Striker
Raúl Jiménez,,4,Striker
Mateusz Klich,,4,Centre Central Midfielder
Ademola Lookman,Fulham,4,Left/Right Winger
Anthony Martial,,4,Left/Centre/Right Striker
Scott McTominay,,4,Centre Central Midfielder
Christian Pulisic,,4,Left/Centre/Right Attacking Midfielder
Fábio Silva,Wolverhampton Wanderers,4,Forward
John Stones,Manchester City,4,Centre Central Defender
Ross Barkley,Chelsea,3,Midfielder
Ashley Barnes,,3,Forward
Kyle Bartley,West Bromwich Albion,3,Centre Central Defender
Daniel Podence,,3,Left Winger
Ben Chilwell,Chelsea,3,Left Full Back
Craig Dawson,,3,Centre Central Defender
Mbaye Diagne,West Bromwich Albion,3,Centre Striker
Pascal Groß,,3,Centre Central Midfielder
Sébastien Haller,,3,Centre Striker
Daniel James,,3,Right Winger
Michael Keane,Everton,3,Centre Central Defender
Josh Maja,Fulham,3,Striker
John McGinn,Aston Villa,3,Centre Central Midfielder
Takumi Minamino,Liverpool,3,Left/Centre/Right Attacking Midfielder
Aleksandar Mitrovic,,3,Forward
Tanguy Ndombélé,,3,Midfielder
Ivan Cavaleiro,,3,Left Winger
