player,total_goals,club,position
Mohamed Salah,95,Liverpool,Left/Centre/Right Winger
Jamie Vardy,89,Leicester City,Centre Striker
Son Heung-Min,66,Tottenham Hotspur,Left/Centre/Right Winger
Alexandre Lacazette,50,Arsenal,Centre Striker
Michail Antonio,38,West Ham United,Centre Striker
Bruno Fernandes,26,Manchester United,Left/Centre/Right Attacking Midfielder
Jesse Lingard,21,Manchester United,Midfielder
Bernardo Silva,19,Manchester City,Left/Centre Attacking Midfielder
Nathan Redmond,17,Southampton,Left/Right Winger
Patrick Bamford,17,Leeds United,Centre Striker
Ollie Watkins,14,Aston Villa,Left/Centre/Right Second Striker
Phil Foden,14,Manchester City,Centre Central Midfielder
Xherdan Shaqiri,12,Stoke City,Left/Right Winger
Teemu Pukki,11,Norwich City,Forward
Ross Barkley,11,Chelsea,Midfielder
Theo Walcott,10,Arsenal,Right Winger
Tomás Soucek,10,West Ham United,Centre Defensive Midfielder
Leandro Trossard,10,Brighton & Hove Albion,Forward
Neal Maupay,10,Brighton & Hove Albion,Centre Striker
Álvaro Negredo,9,Middlesbrough,Striker
Virgil van Dijk,9,Liverpool,Centre Central Defender
Lewis Dunk,8,Brighton & Hove Albion,Defender
David McGoldrick,8,Sheffield United,Forward
Jarrod Bowen,8,West Ham United,Centre Striker
Jay Rodriguez,7,West Bromwich Albion,Forward
Divock Origi,7,Liverpool,Centre Striker
David Brooks,7,Bournemouth,Left/Centre/Right Attacking Midfielder
Oliver McBurnie,6,Sheffield United,Centre Striker
André Schürrle,6,Fulham,Left Winger
Jonjo Shelvey,6,Newcastle United,Central Midfielder
Joe Allen,6,Stoke City,Centre Central Midfielder
Leroy Fer,6,Swansea City,Centre Central Midfielder
Laurent Depoitre,6,Huddersfield Town,Centre Striker
Dwight Gayle,6,Newcastle United,Centre Striker
Gareth McAuley,6,West Bromwich Albion,Centre Central Defender
Danny Welbeck,6,Brighton & Hove Albion,Centre Striker
Shane Duffy,5,Brighton & Hove Albion,Centre Central Defender
Andrii Yarmolenko,5,West Ham United,Left/Centre Second Striker
Shane Long,5,Southampton,Centre Striker
Víctor Camarasa,5,Cardiff City,Centre Central Midfielder
Tammy Abraham,5,Swansea City,Centre Striker
Michy Batshuayi,5,Chelsea,Centre Striker
Nacer Chadli,5,West Bromwich Albion,Left/Centre/Right Attacking Midfielder
Ryan Babel,5,Fulham,Left/Right Winger
Bukayo Saka,5,Arsenal,Left Winger
James Morrison,5,West Bromwich Albion,Midfielder
John Lundstram,5,Sheffield United,Centre Central Midfielder
John Stones,4,Manchester City,Centre Central Defender
Séamus Coleman,4,Everton,Right Full Back
Ademola Lookman,4,Fulham,Left/Right Winger
Abel Hernández,4,Hull City,Striker
Alfie Mawson,4,Swansea City,Centre Central Defender
Craig Dawson,4,West Bromwich Albion,Centre Central Defender
Sol Bamba,4,Cardiff City,Defender
Fabian Schär,4,Newcastle United,Defender
Fábio Silva,4,Wolverhampton Wanderers,Forward
Eberechi Eze,4,Crystal Palace,Centre Attacking Midfielder
Marten de Roon,4,Middlesbrough,Centre Central Midfielder
Joelinton,4,Newcastle United,Left Central Midfielder
Cristhian Stuani,4,Middlesbrough,Centre Striker
Matt Phillips,4,West Bromwich Albion,Left/Right Winger
Oumar Niasse,4,Hull City,Centre Striker
Craig Cathcart,3,Watford,Centre Central Defender
André Ayew,3,Swansea City,Forward
Ben Chilwell,3,Chelsea,Left Full Back
Gabriel Martinelli,3,Arsenal,Midfielder
Florin Andone,3,Brighton & Hove Albion,Centre Striker
John McGinn,3,Aston Villa,Centre Central Midfielder
Issa Diop,3,West Ham United,Centre Central Defender
Kyle Bartley,3,West Bromwich Albion,Centre Central Defender
Josh Maja,3,Fulham,Striker
Mbaye Diagne,3,West Bromwich Albion,Centre Striker
Michael Keane,3,Everton,Centre Central Defender
Rodri,3,Manchester City,Centre Central Midfielder
Ricardo Pereira,3,Leicester City,Right Full Back
Takumi Minamino,3,Liverpool,Left/Centre/Right Attacking Midfielder
Victor Anichebe,3,Sunderland,Centre Striker
